Name,RA,DEC,zlens,zsource,R_Ein(arcsec),"maglens,i","magsource,i",Lens type,Discovery,Grade,References,unknown,Paper
114522-010502,176.341808,-1.084154,-99,-99,0.73,-99,-99,20.29,-99,GG,VY,C,SuGOHI6
114635+002511,176.647,0.4198,-99,-99,0.5,0.87,-99,21.26,22.65,GG,V,C,SuGOHI5
114650-012618,176.709503,-1.438461,0.39,-99,-99,-99,-99,18.5,-99,GG,EV,C,SuGOHI1 LinKS SuGOHI6
114705+011909,176.7727,1.3193,0.636,-99,0.63,1.82,-99,20.19,23.37,CG,V,B,SuGOHI5 SuGOHI6
114724+003629,176.850141,0.608121,0.49,-99,-99,-99,-99,19.69,23.3,GG,Y,C,SuGOHI1
114733-001736,176.89097,-0.293513,-99,-99,0.22,-99,-99,17.64,-99,GG,VY,C,SuGOHI6
114745-001349,176.9381,-0.2304,-99,2.093,0.81,1.69,-99,21.53,23.06,CG,V,B,SuGOHI5
114758+000954,176.993912,0.165025,-99,-99,0.61,-99,-99,19.97,-99,GG,V,C,SuGOHI6
114759+020319,176.99964,2.055297,0.524,-99,-99,-99,-99,19.4,22.42,GG,Y,C,SuGOHI2
114830-010146,177.127959,-1.029557,0.442,-99,-99,-99,-99,19.1,21.13,GG,YV,C,SuGOHI1 SuGOHI6
114831+012046,177.13258,1.34625,-99,-99,0.41,-99,-99,18.87,-99,GG,V,C,SuGOHI6
114841+011334,177.1745,1.2261,0.352,-99,0.35,1.53,-99,18.17,25.62,CG,V,C,SuGOHI5
114842-012049,177.178799,-1.347128,0.496,-99,-99,-99,-99,19.43,22.56,GG,Y,C,SuGOHI1
114852+000945,177.217924,0.162728,-99,-99,0.58,-99,-99,19.82,-99,GG,V,C,SuGOHI6
114923-003950,177.348,-0.6639,0.26,-99,0.28,1.47,-99,17.5,23.34,CG,V,C,SuGOHI5
114945-004435,177.4383,-0.7431,-99,-99,0.39,1.66,-99,19.62,25.15,CG,V,C,SuGOHI5
114954-005754,177.47556,-0.965068,-99,-99,0.81,-99,-99,21.09,-99,GG,VY,C,SuGOHI6
115006+012119,177.526356,1.355345,0.543,-99,-99,-99,-99,19.15,23.14,GG,YV,C,SuGOHI1 SuGOHI6
115011-002019,177.546919,-0.338828,-99,-99,0.65,-99,-99,20.05,-99,GG,VY,B,SuGOHI6
115041-005327,177.6736,-0.8909,-99,-99,0.94,-99,-99,20.27,-99,GG,V,C,SuGOHI5
115057-015316,177.73919,-1.887994,-99,-99,0.94,-99,-99,21.09,-99,GG,V,B,SuGOHI6
115101-020633,177.755462,-2.109268,0.338,-99,-99,-99,-99,-99,-99,GG,C,C,SuGOHI1 LinKS
115118+010754,177.827412,1.131768,0.539,-99,-99,-99,-99,19.21,23.86,GG,Y,C,SuGOHI1
115139+003032,177.9127,0.5089,-99,-99,0.48,1.47,-99,20.55,24.27,CG,V,C,SuGOHI5
115140+003133,177.9192,0.5259,-99,-99,0.8,0.86,-99,20.64,21.7,GG,V,C,SuGOHI5
115140-011916,177.9191,-1.3212,-99,-99,0.37,0.91,-99,18.91,21.44,CG,V,C,SuGOHI5
115141-002647,177.92248,-0.446394,-99,-99,0.81,-99,-99,21.43,-99,GG,V,C,SuGOHI6
115143-011440,177.931306,-1.244544,-99,-99,-99,-99,0.68,-99,-99,GQ,C,C,SuGOHI4
115202-002808,178.00842,-0.469094,-99,-99,0.94,-99,-99,21.63,-99,GG,V,C,SuGOHI6
115214+000605,178.061041,0.101579,-99,-99,0.51,-99,-99,18.97,-99,GG,V,C,SuGOHI6
115214+003126,178.059143,0.524024,0.467,-99,-99,-99,-99,19.14,-99,CG,EV,A,SuGOHI1 SuGOHI5
115224-001258,178.103059,-0.216204,-99,-99,-99,-99,0.56,-99,-99,GQ,C,C,SuGOHI4
115236-011431,178.153687,-1.241971,-99,-99,0.64,-99,-99,20.47,-99,GG,V,C,SuGOHI6
115252+004733,178.217761,0.792515,0.466,3.76,-99,-99,1.39,-99,-99,GQ,SC,A,More17 LinKS SuGOHI4
115307+002305,178.283051,0.384826,-99,-99,-99,-99,0.96,-99,-99,GQ,C,C,SuGOHI4
115307-001018,178.280728,-0.171926,-99,-99,0.59,-99,-99,19.68,-99,GG,V,C,SuGOHI6
115312+000206,178.303741,0.035261,-99,-99,-99,-99,0.58,-99,-99,GQ,C,C,SuGOHI4
115315+012745,178.3149,1.4627,-99,-99,0.53,0.8,-99,19.28,20.92,CG,V,A,SuGOHI5 SuGOHI6
115324-003022,178.352343,-0.506171,-99,-99,-99,-99,0.54,-99,-99,GQ,C,C,SuGOHI4
115330-014351,178.3768,-1.7309,-99,-99,0.11,1.11,-99,15.45,22.77,CG,V,B,SuGOHI5
115335-005805,178.398699,-0.968196,-99,-99,-99,-99,0.6,-99,-99,GQ,C,C,SuGOHI4
115410+011929,178.543152,1.324909,0.399,-99,-99,-99,-99,-99,-99,GG,E,C,SuGOHI1
115412+011527,178.552375,1.2577,-99,-99,0.28,-99,-99,18.54,-99,GG,VY,C,SuGOHI6
115413+000457,178.554546,0.082569,-99,-99,0.82,-99,-99,21.9,-99,GG,VY,C,SuGOHI6
115414-004720,178.5611,-0.7891,-99,-99,0.27,-99,-99,18.39,-99,GG,V,C,SuGOHI5
115419+015713,178.583019,1.953726,-99,-99,0.44,-99,-99,19.4,-99,GG,V,C,SuGOHI6
115428+011456,178.6203,1.249,-99,-99,0.12,0.28,-99,19.29,20.11,GG,V,C,SuGOHI5
115434-013246,178.6454,-1.5462,-99,-99,0.8,1.58,-99,20.09,24.81,CG,V,C,SuGOHI5 SuGOHI6
115445-021722,178.690813,-2.289488,-99,-99,0.77,-99,-99,19.99,-99,GG,V,C,SuGOHI6
115447-002924,178.697799,-0.490105,-99,-99,0.24,-99,-99,17.59,-99,GG,VY,C,SuGOHI6
115454-014946,178.7268,-1.8295,-99,-99,0.91,-99,-99,20.54,22.1,GG,V,C,SuGOHI5
115501-002128,178.756249,-0.35802,-99,-99,0.84,-99,-99,21.36,-99,GG,VY,C,SuGOHI6
115510-011941,178.7919,-1.3282,-99,-99,0.11,1.38,-99,20.37,25.6,CG,V,C,SuGOHI5
115520+005304,178.8365,0.8846,0.283,-99,0.31,1.4,-99,18.29,24.87,CG,V,B,SuGOHI5 LinKS
115522+014704,178.845657,1.784455,0.594,-99,-99,-99,-99,-99,-99,GG,E,C,SuGOHI1
115529-004255,178.87266,-0.715532,-99,-99,0.82,-99,-99,21.11,-99,GG,V,B,SuGOHI6
115530+004141,178.879082,0.694776,-99,-99,-99,-99,0.64,-99,-99,GQ,C,C,SuGOHI4
115601-000853,179.004291,-0.148251,0.663,-99,-99,-99,-99,-99,-99,GG,C,C,SuGOHI1
115609-001932,179.0411,-0.3257,0.26,-99,0.27,1.27,-99,17.21,23.95,CG,V,B,SuGOHI5
115610-002100,179.045,-0.3502,0.256,-99,0.26,2.42,-99,16.79,26.89,CG,V,B,SuGOHI5
115613-010158,179.0551,-1.0329,-99,-99,0.44,1.88,-99,19.49,26.44,CG,V,B,SuGOHI5
115630-020027,179.128941,-2.007666,-99,-99,1.15,-99,-99,21.71,-99,GG,V,B,SuGOHI6
115648+012519,179.2037,1.422,0.568,-99,0.58,0.83,-99,19.95,21.61,CG,V,C,SuGOHI5
115653-003753,179.223,-0.6314,-99,1.907,0.92,1.84,-99,22.09,23.52,CG,V,B,SuGOHI5
115653-003948,179.220954,-0.663476,0.508,-99,-99,-99,-99,19.16,22.35,GG,Y,B,SuGOHI1
115656-010628,179.234101,-1.107818,0.604,-99,-99,-99,-99,-99,-99,GG,C,C,SuGOHI1
115707+004854,179.282604,0.815167,0.591,-99,-99,-99,-99,19.71,22.39,GG,Y,C,SuGOHI1
115712-001723,179.3032,-0.2898,-99,-99,1,2.06,-99,21.98,23.54,CG,V,C,SuGOHI5 SuGOHI6
115714-010925,179.3122,-1.157,0.337,-99,0.34,-99,-99,18.19,-99,GG,V,C,SuGOHI5
115722-000041,179.343141,-0.011415,-99,-99,1.1,-99,-99,22.32,-99,GG,V,C,SuGOHI6
115735-014047,179.399189,-1.679864,0.547,-99,-99,-99,-99,18.82,23.02,GG,YV,C,SuGOHI1 SuGOHI6
115807-003236,179.5324,-0.5435,-99,-99,0.97,1.46,-99,21.69,23.62,CG,V,C,SuGOHI5
115815-012717,179.566648,-1.454965,0.674,-99,-99,-99,-99,19.64,23.35,GG,YV,B,SuGOHI1 SuGOHI6
115844+014914,179.685535,1.82068,-99,-99,0.67,-99,-99,19.96,-99,GG,V,C,SuGOHI6
115846-010740,179.694898,-1.127976,0.787,-99,-99,-99,-99,-99,-99,GG,C,C,SuGOHI1
115856-020146,179.737382,-2.029648,-99,-99,0.25,-99,-99,17.6,-99,GG,VY,C,SuGOHI6
115857-000531,179.740623,-0.092156,-99,-99,0.82,-99,-99,20.53,-99,GG,VY,C,SuGOHI6
115943+012846,179.930897,1.479478,-99,-99,-99,-99,0.57,-99,-99,GQ,C,C,SuGOHI4
115952-001409,179.969663,-0.235986,-99,-99,0.72,-99,-99,18.92,-99,GG,V,C,SuGOHI6
115953-011309,179.973003,-1.219388,-99,-99,0.84,-99,-99,20.66,-99,GG,V,C,SuGOHI6
120035-020152,180.147996,-2.031214,-99,-99,0.95,-99,-99,21.01,-99,GG,VY,C,SuGOHI6
120044-000933,180.1838,-0.1593,-99,-99,0.17,1.05,-99,17.01,24.22,CG,V,C,SuGOHI5
120045-005740,180.188974,-0.961346,-99,-99,-99,-99,1.57,-99,-99,GQ,C,B,SuGOHI4
120053-001614,180.2224,-0.2707,-99,-99,0.82,1.43,-99,21.26,23.49,GG,VY,C,SuGOHI5 SuGOHI6
120053-013357,180.221984,-1.566051,-99,-99,0.92,-99,-99,21.18,-99,GG,VY,B,SuGOHI6
120105+010413,180.271541,1.07043,0.561,-99,-99,-99,-99,18.98,22.21,GG,Y,C,SuGOHI1
120109+003330,180.291113,0.55834,-99,-99,1.11,-99,-99,22.07,-99,GG,VY,B,SuGOHI6
120111+012635,180.297968,1.443062,-99,-99,0.59,-99,-99,19.02,-99,GG,V,B,SuGOHI6
120111+012636,180.2973,1.4435,-99,1.653,0.62,1.35,-99,19.4,25.18,CG,V,B,SuGOHI5
120118-001243,180.326199,-0.212046,-99,-99,0.73,-99,-99,20.9,-99,GG,V,C,SuGOHI6
120129+001930,180.371609,0.325009,-99,-99,0.72,-99,-99,20.28,-99,GG,VY,B,SuGOHI6
120139-001226,180.4161,-0.2073,-99,-99,0.25,0.43,-99,17.65,19.96,GG,V,B,SuGOHI5 LinKS
120139-020802,180.413605,-2.13396,0.549,-99,-99,-99,-99,18.5,22.57,GG,Y,C,SuGOHI1
120141+012736,180.424823,1.460266,-99,-99,0.75,-99,-99,21,-99,GG,V,B,SuGOHI6
120150+002519,180.4602,0.4222,-99,-99,0.88,2.55,-99,22.03,25.07,CG,V,B,SuGOHI5
120153-000428,180.4736,-0.0745,-99,-99,0.95,1.21,-99,21.49,23.71,GG,V,C,SuGOHI5
120228+002843,180.618812,0.47873,-99,-99,1.17,-99,-99,22.94,-99,GG,V,C,SuGOHI6
120233-002730,180.641578,-0.458389,-99,-99,0.33,-99,-99,18.26,-99,GG,VY,C,SuGOHI6
120256+003930,180.7369,0.6583,0.689,1.885,0.7,2.01,-99,19.76,24.01,CG,V,A,SuGOHI5 SuGOHI6
120257-005559,180.73841,-0.933296,-99,-99,0.7,-99,-99,20.3,-99,GG,V,C,SuGOHI6
120302+002258,180.759825,0.382828,-99,-99,0.47,-99,-99,18.83,-99,GG,VY,C,SuGOHI6
120311-003832,180.799159,-0.642374,-99,-99,1.19,-99,-99,23.12,-99,GG,VY,C,SuGOHI6
120336-004021,180.903093,-0.67255,-99,-99,0.28,-99,-99,17.88,-99,GG,V,C,SuGOHI6
120338-012130,180.911953,-1.358561,-99,-99,0.91,-99,-99,21.69,-99,GG,V,C,SuGOHI6
120406-020803,181.026075,-2.134253,-99,-99,0.64,-99,-99,19.69,-99,GG,V,C,SuGOHI6
120415+000728,181.06326,0.124688,0.658,-99,-99,-99,-99,-99,-99,GG,C,C,SuGOHI1
120424-002238,181.103841,-0.377222,-99,-99,1.04,-99,-99,20.96,-99,GG,VY,C,SuGOHI6
120436-001836,181.150593,-0.31026,-99,-99,0.38,-99,-99,18.94,-99,GG,V,C,SuGOHI6 LinKS
120440-000227,181.169816,-0.040986,-99,-99,0.91,-99,-99,21.84,-99,GG,V,C,SuGOHI6
120445-005332,181.190603,-0.892403,0.763,-99,-99,-99,-99,20.63,23.54,GG,Y,C,SuGOHI1
120513+001029,181.307402,0.174838,-99,-99,0.65,-99,-99,19.28,-99,GG,VY,C,SuGOHI6
120541-010548,181.4243,-1.0967,-99,-99,0.74,-99,-99,21.58,-99,GG,V,C,SuGOHI5
120542-012308,181.4271,-1.3858,0.173,-99,0.18,2.02,-99,15.89,25.58,CG,V,C,SuGOHI5
120555+011643,181.481869,1.278848,-99,-99,0.96,-99,-99,21.7,-99,GG,V,C,SuGOHI6
120556+001254,181.485651,0.215195,0.566,-99,-99,-99,-99,18.72,22.06,CG,YV,C,SuGOHI1 SuGOHI5 SuGOHI6
